Year (Latin),Year (English),Event (Latin),Event (English)
1166,1166,Bellum Trōiānum inceptum est.,The Trojan War is started.
1156,1156,Bellum Trōiānum perfectum est.,The Trojan War is ended.
1,753,Urbs Roma condita est.,The city of Rome is founded.
2,752,Feminae Sabinae a viris Romanis raptae sunt.,The Rape of the Sabine Women by the men of Rome.
7,747,"Ultimus Rex Sabinōrum, Titus Tatius, mortuus est","The Last king of the Sabines, Titus Tatius dies"
38,716,Romulus deus factus est,Romulus is deified
39,715,Numa Pompilius rex Romanus factus est,Numa Pompilius is made king of Rome
82,672,Tullus Hostilius rex Romanus factus est,Tullus Hostilius is made king of Rome
114,640,Ancus Marcius rex Romanus factus est,Ancus Marcius is made king of Rome
138,616,Lucius Tarquinius Priscus rex Romanus factus est,Lucius Tarquinius Priscus is made king of Rome
154,600,Cloaca Maxima aedificata est,The Cloaca Maxima is built
176,578,Servius Tullius rex Romanus factus est,Servius Tullius is made king of Rome
220,534,Lucius Tarquinius Superbus rex Romanus factus est,Lucius Tarquinius Superbus is made king of Rome
245,509,Templum Iovī Optimō Maximō in monte Capitolīnō aedificatum est,The Temple to Jupiter Optimus Maximus is built on the Capitoline Hill
245,509,Res publica Romana constituta est,The Roman Republic is established
259,495,"Tarquinius Superbus, ultimus rex Romae, necātus est","Tarquin the Proud, the last king of Rome, is killed"
259,495,Aedes Mercuriī in Monte Aventinō prope Circo Maximo aedificatum est,The Temple of Mercury is built on the Aventine Hill near to the Circus Maximus
271,483,"Virgō Vestalis, nomine Oppia, incestum accusata, occisa est","A Vestal Virgin, named Oppia, accused of inchastity, is put to death"
296,458,Cincinnatus dictator factus est ut contrā Aequōs pugnāret.,Cincinnati is made dictator in order to fight the Aequi.
305,449,"Leges, nomine Duodecim Tabulae, scriptae et in rostrīs positae sunt",The Laws called twelve tables are written and publice displayed on the rostra
309,445,Matrimonium inter patricios plebeiosque nondum vetatum est,Marriage between Patricians and Plebians is made legal
358,396,Milites Romanī primum salarium accipiunt,Roman Soldiers first receive a salary
370,384,Templum Junoni Monetae in monte Capitolīnō sacrātum est,The Temple of Juno Moneta is dedicated
388,366,"Primus Consul plebeius, Lucius Sextius Lateranus, electus est","The first plebeian consul, Lucius Sextius Lateranus, is elected"
431,323,"Alexander Magnus, rex Macedoniae, Babyloniae mortuus est","Alexander the Great, king of Macendonia, died in Babylon"
447,307,"Ap. Claudius Caecus primam viam, Viam Appiam, aquaeductumque, Aquam Appiam, aedificavit","Appius Claudius Caecus builds the first road, the Appian Way, and the first aqueduct, the Aqua Appia"
454,300,Plebeibus sacerdotes fieri nondum vetati sunt,Plebeians are allowed to become priests
482,272,"Bellum contrā Pyrrhum, regem Epirī, perfectum est","The War against Pyrrhus, king of Epirus, ends"
490,264,Primum Bellum Punicum contrā Carthaginem inceptum est,The First Punic War against Carthage begins
513,241,Roma Siciliam vincit et provinciam facit,Rome conquers Sicily and makes it a province
536,218,Secundum Bellum Punicum contrā Carthaginem inceptum est,The Second Punic War against Carthage begins
537,217,Q. Fabius Maximus dictator exercitum Romanum contra Carthaginem duxit ratione strategicā fatigationis et proelia negante dictā 'Fabiānā' utēns,"Quintus Fabius Maximus Verrucosus, a dictator, led the Roman army against the Carthaginians using the so-called Fabian Strategy of exhaustion and denying battle"
538,216,Hannibal Exercitum Romanum in proeliō Cannae caecidit,Hannibal defeats Rome at the battle of Cannae
538,216,Templum Concordiae consecratum est,The Temple of Concord is consecrated
549,205,Romānī a Oraculō Sibyllinō Magnam Matrem in pantheum deōrum Romanum adoptare monītī sunt ut Carthaginem destruerent,"Rome is told to adopt the Great Mother into the Roman Pantheon by the Sibylline Oracle, so that Rome destroy Carthage"
552,202,Scipio Africanus Hannibalem et Carthaginensēs apud Zamam vicit,Scipio Africanus defeats Hannibal and Carthaginians at Zama
553,201,Roma Hispaniam a Carthagine cepit et in formam provinciae redegit ,Rome takes Hispania from Carthage 
585,169,"Ennius poeta, qui poema Annales de origine Roma usque ad vitam Catonis scripserat, mortuus est","The poet Ennius, who had written the poem Annales about the origins of Rome up to the life of Cato, died "
595,159,"P. Terentius Afer, poeta et libertus qui multas comoedias scripserat, vicesimo sexto aetatis suae annō mortuus est","Terence, a poet and a freedman who wrote comedies, died at the age of 25"
605,149,"Cato Maior, qui insigniter ""Carthaginem delendam esse"" dixerat, mortuus est","Cato the Elder, famous for saying ""Carthage must be Destroyed"", died"
611,143,"Claudia virgo Vestalis patrem suum, Claudium Pulchrum, qui triumphum celebrabat, a plebeis eum oppugnantibus defendit ",The Vestal Virgin Claudia defends her father Claudius Pulcher from the plebs who attacked him while he was celebrating his triumph
632,122,Gaius Tiberius Gracchus ab Optimatibus necātus est propter leges populares quas ipse Tribunus plebis anno praeterito promovit,"Gaius Tiberius Gracchus, Tribune of the Plebs, is killed by the Optimates because of laws he had passed the previous year as Tribune of the Plebs."
633,121,"L. Coelius Antipater, qui historiam de secundō bellō Punicō scripserat, mortuus est","Lucius Coelius Antipater, who had written a history of the Second Punic War, died"
641,113,"Tres Virgines Vestales, nomine Aemilia, Marcia, Liciniaque, propter incestum occisae sunt","Three Vestal Virgins, called Aemilia, Marcia, and Licinia, are killed for violating their oath of chastity"
647,107,"Gaius Marius legiones Romanas reformavit. Militēs, quī postquam arma ferre ipsī debebant, ""mulī Mariānī"" dictī sunt.","Gaius Marius reformed the Roman Military. His soldiers, who afterward had to carry their own weapons and equipment, were called ""Marius' mules."""
663,91,"Bellum sociale, inter sociōs Romae Italōs et Rem publicam Romānam, inceptum est","The Social War, between Rome and its Italian allies, begins"
666,88,Sulla armātus pomerium transiit,Sulla crosses the Pomerium under arms
668,86,Gaius Marius mortuus est,Gaius Marius died
672,82,Sulla sē dictatorem facit,Sulla makes himself dictator
681,73,Spartacus servos liberat et in bello contrā Rōmam ducit,Spartacus frees slaves and leads them in rebellion against Rome
681,73,"Fabia, Vestalis Maxima, ā Cicerōne criminis incestī cum Catalinā accusata est sed innocēns iudicāta et nōn punita est","Fabia, the Chief Vestal Virgin, is prosecuted by Cicero for violating her vows of chastity with Cataline but is proclaimed innocent and not punished"
